Review,Like
"책이 엄청난 명작이기에 기대를 많이 했지만, 영화가 책의 반의반의반도 못미친다.이걸 보고 흥미가 생겼다면 꼭 원작인 책을 읽어보길 바란다크리스 콜럼버스에게 굉장한 실망감을 느낃이렇게 뛰어난 책을 가지고 이렇게 망가뜨려 놓을 수 있다니.놀랍다.  ",0
재밋다 내용이알차다  ,1
괜찮은영화였지만 원작을본터라기대가컸던탓에 조금실망할수밖에없었다. 책의내용에비해허술한면이없잖아있었다. 2편은원작얘기가나오지않게재밌었으면한다.  ,1
옥에티도 너무많고 스토리토한 엉성  ,0
그렇게 까지 ... 쓰레기 영화는 아닌데... 볼만하던데요~  ,1
대역인게 티가 확나고.. 영화가 뭐가 이리 어설프냐.. 스토리도 영~  ,0
그냥 맘 편하게 봐야 하는 TV영화다  ,1
그들의 사랑이 좀 더 설득적이었다면.  ,0
남주는 너무 훈훈한데 08년제작 맞나싶게 촌스런 피겨의상만큼 촌스런 로맨스  ,1
난 이런건 영 기대되지 않는다구  ,0
기대되네요  ,1
사형제 폐지를 다룬 영화라니 정말 기대되네요 ^^  ,1
기대됩니다~  ,1
'발정'을 '사랑'으로 읽으려는 두 가난한 연극배우의 수난기.  ,0
불륜을 젊음의 사랑으로 미화한듯한.... 찬영의 부인만 불쌍하다는 생각.  ,0
사실적이고 섬세한 표현들이 마음에 잔잔히 오래 세겨지게 만드는 영화..  ,1
힘내! 라는 이 한마디가 이렇게 내 마음을 후벼팔줄은 정말 몰랐다..  ,1
 말하지 않아도 내 마음을 아는사람.익숙함에 속아 소중한 것을 잃지말자.  ,1
정말 재밌게 잘봤습니다배우들의 내면연기가 많은 생각을 하게 만드네요비슷한 경험이 있어서 그런지 보는내내 결론이 궁금했는데.. 다행이 해피엔딩이라 후련하네요  ,1
바람이 사랑이 되고...외도가 설렘이 된다는 사기극방탕함을 예술가의 자유로움으로 포장하는 더러운 영화요즘 미투가 생각난다  ,0
나름 괜찮던데....  ,0
깊은 감동이나 임팩트는 없지만 잔잔하고 아련하다...  ,1
그냥 풋풋하고 귀엽긴한데... 이켠 신동미 커플 연기가 좀.... 특히 어색한 사투리는 손발에 힘들어간다... 고준희 매력발견정도 가 소득  ,1
이것이 진정 명품 다큐멘터리  ,1
기대가 컸으나 반복되는 내용이 넘 많다.  ,1
훌륭한 작품이라고 생각합니다..  ,1
놀라운 호러 영화. 미장센의 완벽한 조화. 소름끼치도록 아름답다  ,1
아주 아주 아주 재밌다..  ,1
명작이다. 마지막 주인공의 회개는 감동마저 안겨준다.  ,1
사람을 배추심듯 ㅎㅎㅎ. 공포는 없고 은근히 웃기다. 방부제.  ,1
걸작이다  ,1
슬프네. 연제욱 정말 연기잘하는 배우인듯..  ,1
직접봐야만 알수있는 영화~연제욱도 귀엽지만 이은우씨도 예뻐여^^  ,1
"만점 짜린 아니지만, 생각 많아지게 하는 영화. 단순하게 흘러가는 것만 보고 판단할 영화는 아니다  ",1
영화 괜찮네요... 우리사회의 어두운 단면을 보여주는..아 주인공 연기개쩔어 ㅠㅠ  ,1
무식한 것들아 영화 다시 돌려 봐라 아직 모르겠냐 ㅋㅋ  ,1
연제욱의 연기가 압권이다.정말 바보가 아닌가 하는 착각을...마지막씬만 뺴면 나름굿  ,1
연제욱의 연기는 차태현보다 뛰어났지만 스토리는 참으로 암울하다  ,1
연제욱연기잘하네ㅋㅋ이번엔바보연기도전인가?ㅋㅋ은우누나반야누나 이쁘다..ㅋㅋㅋ  ,1
연제욱은 폭력써클에서 멋졌다! 바보연기 그럭저럭!  ,1
연제옥님의 바보 연기 정말 최고입니다~  ,1
오늘 인디필름에서 보고 그림이 왠지 섬짓한게 지금우리학교는 작가가 그린건가 해서 찾아봤어요획기적이거나 하진않지만 무난한것같은데요 엔딩이 구조안되고 끝나는게 허무한것같았는데 좀 지나니 오히려 현실적이네요 생각도하게만들고  ,1
재미있는 작품.  ,1
흡입력있네요. 짧은데도 여운을 남겨 생각하게 만드는...^^ 좋은 작품 잘 봤습니다.  ,1
'헉' 하게 하는 작품이었어요 ... 대단하네요 ..  ,1
아.... 완전대박이에요!!  완전멋짐 !!!!!!!!!!!  ,1
단편은 거기서 거기.. 하지만 이 애니는 뭔가 다르네요  ,1
넘 슬펐어요.. ㅠㅠ  ,1
와~ 소름 ㅠㅠ  ,1
샷  ,1
95년 삼풍때를 다시 기억하게 하는 슬픈 작품이었어요.  ,1
억지웃음유도는 좀...  ,0
소박한 영웅들이여 홧팅  ,1
이거 짱 재밌어요    그리고 되게 감동적이에요   이영화 진짜진짜 재밌어요  ,1
잼있네요~^^아는 배우들도 많이 나오시고 ㅋ  ,1
관람할 영화는 어디에 있는지?요?  ,1
심오하고 어려운 영화도 좋지만 이런 쉽게 와닿는 희망찬 영화 너무좋은거 같아요  ,1
힘든 현실속에서도 화이팅!  ,1
잘 봤습니다.  ,0
현실에 적응해서 살아가는 내자신을 보는것 같네요 참 잘보았네요 화이팅^^  ,1
재미있게봤습니다  ,1
"두렵고 초조한 여로의 길. 여로야, 힘을내라.  ",1
근데 왜 하필 프랑스 입양아 설정이져? 극 속 대사는 다 영어로 처리중인데... 궁금  ,1
그렇지만 일단 빈캐리어 먼저 버리고 가자  ,0
설명없이는.. 도통 무슨 내용인지 모르겠네요..뭘 의도한 것인지도 잘 모르겠고..  ,0
노래는 좋은걸요~  ,1
뭔 내용인가요?  ,0
생각을 많이 하게되는 영화였습니다  ,1
멋집니다.  ,1
연출의도가 전혀...  ,0
안 와닿는다  ,0
미카즈키군 드디어 키리야마군이랑 결혼을  ,1
"함축적이고 은유적인 영화는 수도없이 많다. 그런 영화는 보고 나면 영화의 분위기와 감정, 여운까지 느껴지길 마련인데, 이 영화는 그럼에도 불구하고 모든게 너무 약하다. 좀 더 조화롭게 엮었어야 했다. 기본적으로 부자만을 위한 결말은 매우 좋았지만,  ",0
"일상속의 차분함과 신선한 스토리의 공존, 좋은 느낌이었다.  ",1
겉으론 티격태격하던 아버지와 아들 소소한재미찾는 영화임 ㅋ  ,1
"이건좀아님...흐휴,,  ",0
결국 행복을 찾아 어머니와 아내에게로 가버린 부자의 이야기  ,1
이 영화의 감독이 <시효경찰>의 구마모토상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,1
이 영화의 감독이 시효경찰의 구마모토 상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,1
오다기리조를 좋아하지만...이건 뭔가! 공감제로의 추상화  ,0
연기는 좋다. 그러나...여백이 너무 많아서 그리다 만 그림같다.  ,0
"장 르누아르의 최고 걸작 중 하나.. 이 영화는 네오리얼리즘의 선구자적인 영화일만 하다. 특별한 사건 없이 묵묵하게 이민자들의 생활을 묘사한점, 로케이션 촬영, 연극적인 사운드의 배제 등은 네오리얼리즘 영화의 초석을 다진 듯 보인다.  ",1
와종빈이영화보소 쩌네요  ,1
버거운 삶에서 내게도 삶의 등대가 되어 줄 사람이 나타날까?  ,1
조하나씨 오랜만이네요.. 그래서 10점 ㅎㅎ  ,1
우와 종빈이 보소ㅋㅋㅋㅋ귀욤터지네요.  ,1
와...  ,1
정종빈 연기 굳ㅋㅋㅋ  ,1
좋은 영화입니다.  ,1
아동 주연 영화라서 인지..순수함과 의문의 교차되는 감성기대...궁금해지네요..^*^  ,1
